person_id,person_mean_norm,person_std_norm,person_extreme_ratio,person_mid_ratio,survey_mean_survey_1,survey_mean_survey_2,survey_mean_survey_3,survey_mean_survey_4,person_latent_00,person_latent_01,person_latent_02,person_latent_03,person_latent_04,person_latent_05,person_latent_06,person_latent_07,person_latent_08,person_latent_09,person_latent_10,person_latent_11,cluster_mean_0,cluster_mean_1,cluster_mean_2,cluster_mean_3,cluster_mean_4,cluster_mean_5,cluster_mean_6,cluster_mean_7,cluster_mean_8,cluster_mean_9,cluster_mean_10,cluster_mean_11
00a1r,0.4481463324153104,0.3919416094516345,0.5481927710843374,0.15512048192771086,0.5157903390892112,0.3724697447673136,0.48206018518518523,0.42620650953984285,13.373519109071877,-0.07665971858591847,0.8954075460009723,-0.6560107154741482,-1.2108670201253227,0.8698034913543036,1.5643561347942005,-1.1123684806195884,0.20500943059614984,0.08531720165851875,0.4486896674616361,1.352823316607404,0.5,0.29017857142857145,0.42334522884333065,0.5,0.66015625,0.30833333333333335,0.5,0.607638888888889,0.6686991869918699,0.0,0.2698412698412699,0.2
0cy1x,0.5176668392148457,0.4083761916208946,0.5843373493975904,0.10542168674698796,0.523509745418815,0.501503157919473,0.45798611111111115,0.7758136924803591,15.041293749284353,-1.4644281414686888,-0.8613123212269173,2.5916311114412944,1.6093120555759817,3.0738076272060777,0.3717403157331569,-1.3306830784406434,1.0867183019038846,-0.6935647215267002,-0.6946724695863797,-0.03144246032287497,0.825,0.20089285714285715,0.44693229161265496,0.7380952380952381,0.609375,0.575,0.4523809523809524,0.4774305555555556,0.5426829268292683,0.6428571428571429,0.3055555555555556,0.0
0di48,0.5310904445555588,0.40744722733993916,0.5942249240121581,0.13221884498480244,0.5647312607286762,0.4746460179924101,0.5377616747181965,0.6621773288439955,14.772757854783606,2.147506502474389,-3.5346019719982396,-0.20840993323942775,-0.2448618307730357,-1.0638269431359548,-1.823713820592285,-1.5007965427348107,1.4828099268724264,0.3682365824287456,-0.23276653811997347,-0.6919472231269558,0.7,0.29464285714285715,0.4598871301443507,0.7380952380952381,0.74609375,0.7416666666666667,0.0,0.796875,0.7296747967479675,0.0,0.2976190476190476,
0ifq6,0.49659902899052366,0.4305394992038393,0.703030303030303,0.1484848484848485,0.40175034485480543,0.5617370092488638,0.4766351457840819,0.6744186046511628,13.228021726429862,-3.1611783124334463,1.1863321209167932,6.515453054022332,1.5104755573187276,-1.4391413593452227,0.4993852879666707,-1.7910889613152978,-2.7076870082417863,0.2787878705515211,0.627210350952011,-1.4187079153802118,0.7375,0.4375,0.43732374984018924,0.9761904761904762,0.26171875,0.24166666666666667,0.8333333333333334,0.15277777777777776,0.556910569105691,1.0,0.25793650793650796,0.1
0ldjp,0.4786367877589984,0.38268828216870315,0.5226586102719033,0.21450151057401812,0.5632588288170994,0.4637293573954321,0.49487480438184667,0.0808080808080808,11.662005309144512,3.933611526306267,0.5855470113005218,1.2029734076151386,-0.6272798038327813,-1.8181440737269727,1.6188597821094934,3.400177025337052,-1.9449894464375144,1.2013320109368646,-0.6443509945744188,-0.7080153880358224,0.1625,0.59375,0.4672364839287016,0.42857142857142855,0.6171875,0.4583333333333333,0.4523809523809524,0.7743055555555555,0.6504065040650406,0.35714285714285715,0.6904761904761905,
0xhxd,0.5079913524384905,0.4173898170886751,0.6039156626506024,0.08734939759036145,0.5424978291566637,0.4557944487229699,0.5427854938271605,0.5173961840628507,14.60074670347311,-1.6092351366180169,0.8282555836100102,0.6084610417997142,-0.40820618468263425,-2.840697907976651,2.241623485420825,-1.7491423038747018,-1.3029841589024689,0.029430355302399347,-0.056481317349364346,-0.10037713439314316,0.6125,0.41964285714285715,0.5086012286626554,0.8095238095238095,0.5625,0.19166666666666668,0.5,0.607638888888889,0.8109756097560976,0.0,0.3650793650793651,0.0
17cwz,0.5495811740845994,0.4014113975887803,0.582701062215478,0.1426403641881639,0.5556848126627262,0.5573901749220717,0.5457234212629896,0.4859708193041526,14.979761192952559,2.762248247598193,3.4760490922584313,1.5015468486319878,0.4061359123984952,2.563039904073296,0.27672196037719804,1.1917943777548927,1.7956768162720822,0.6389041947755887,0.14459952433859802,0.5601603005583731,0.575,0.4955357142857143,0.4528812701874032,0.2857142857142857,0.765625,0.675,1.0,0.5555555555555556,0.5833333333333334,0.42857142857142855,0.42063492063492064,0.0
1b3hy,0.5243742476437304,0.4258462305668501,0.6661654135338346,0.08571428571428572,0.5365150231064234,0.5064442617130409,0.5267503805175038,0.5581395348837209,15.0115219490115,-2.878354120466094,-0.025451315888746648,3.2457034898741193,-2.6953072146896635,-0.706741812059021,-1.0736845781815134,0.7627448995029498,-0.11375464002849955,-1.3858640154506603,0.6486700866691103,-0.03993257015465143,0.6625,0.08482142857142858,0.47275138080449003,0.8571428571428571,0.703125,0.19166666666666668,0.6666666666666666,0.6197916666666666,0.8089430894308942,1.0,0.2698412698412699,0.3
1njfu,0.48249014762939574,0.39281273645848924,0.5487804878048781,0.17835365853658536,0.5537557901862413,0.346803420894396,0.5407137064071371,0.7209302325581395,14.224377395780706,-3.163646078337611,-0.08154077380426814,-0.24107644192536234,1.6657224613817312,-0.3296202362377468,1.2010589177221989,0.46966370767650656,1.4037135577821043,-0.4911472647606636,0.9783129819247098,0.09156714712255926,0.7875,0.3482142857142857,0.48645315269744366,0.5714285714285714,0.5859375,0.20833333333333334,0.21428571428571427,0.5034722222222222,0.6890243902439024,0.35714285714285715,0.3531746031746032,0.0
1o3dm,0.41468940504168644,0.40051681644682335,0.5857805255023184,0.07727975270479134,0.5252136183641316,0.3508745717431342,0.36299212598425196,0.3667227833894501,12.250821658105123,2.3429363490265414,-0.4726873998265342,-2.0649315660195144,1.5173276136561178,0.5446041164933376,0.7591680597436049,1.3333443765071933,1.9419840455343982,-1.580985329835357,0.24532015524637996,-0.5494545807294844,0.3375,0.26785714285714285,0.4707095815860645,0.2857142857142857,0.67578125,0.525,0.047619047619047616,0.5520833333333334,0.49390243902439024,0.0,0.40476190476190477,
