question_id,loading_0,loading_1,loading_2,loading_3,loading_4,loading_5,loading_6,loading_7,loading_8,loading_9,loading_10,loading_11,loading_12,loading_13,loading_14,loading_15,loading_16,loading_17,loading_18,loading_19,loading_20,loading_21,loading_22,loading_23,loading_24,loading_25,loading_26,loading_27,loading_28,loading_29
QID11,0.0007989405699553032,0.006348410048425818,0.023162773506644224,-0.009349903813770613,0.0054756976664001936,0.025183731661625994,0.06483290653238524,0.028975867784594975,-0.026270400123591626,-0.07607821536260237,-0.045381613610595464,0.006928180899381492,0.06996070754931777,0.02798478011378905,-0.06103432441838476,0.032039548732029646,0.10929447742686171,-0.02425670592957202,0.03298064298824581,-0.020467420347818278,0.009955516539788385,0.06155656044962735,-0.02534361192477272,0.07628810199105836,0.0684909445769962,-0.10820189234309506,0.004738471974628733,0.009980473161950061,-0.043246423349196074,0.1390479886462569
QID117,-0.037502330587306565,-0.006554450334181061,0.045534522609349926,0.057057030540598894,0.06034757100618761,-0.07899392573210232,-0.01888958485548107,-0.012885879394455988,-0.05488996694010107,0.07167496238436817,0.11051214355234117,0.12113904189715537,0.05073383724484606,-0.010357833162326588,0.007883468827345506,0.024061496283808506,-0.004546951764852313,0.04598709960650278,0.008467519892913845,-0.056824887842385534,0.024144960388700065,0.014118905800896269,0.03344350488329132,-0.10409719869887257,-0.010667174578106963,-0.040435136970183416,0.026794765119414032,0.023127527226776738,0.02553622190159397,-0.03300402012713576
QID118,-0.03806266880288439,-0.033350582341880375,0.03840624675694859,0.06850924612508136,0.08329139620911825,-0.10648988009951141,-0.05742506884027737,-0.011348505246092877,-0.015182955150494386,0.07014198387449694,0.209367506350466,0.15613560417955175,0.08329144564628249,-0.026059521633389357,0.02641793407207639,0.023356760252342,0.026533083306842398,-0.008666299638983396,0.017860343331014866,-0.07243935404846849,0.0539734897239077,0.015426645746550154,-0.0004181927495860299,0.006853357626511966,0.030343585085776417,-0.026945769794907613,0.016766176612971057,-0.07936933310428686,0.016142344713828322,-0.023288267558458236
QID119,-0.03326464569516954,-0.025494632973550257,0.03757818001886992,0.09067445493866935,0.07571610352422799,-0.10252249384958032,-0.06465084351671413,-0.0025257163413514583,-0.01716944478850293,0.07375146512649333,0.21624904601156206,0.15097931280577342,0.06823244423613703,0.002321946391640378,0.04712986816305964,0.049942636588446776,0.006678702624981422,-0.00335604073859478,0.013195396613889592,-0.037215557551524,0.0523062705500988,0.06040759959969131,0.01804760842209575,0.026325250508882844,0.020811686203185936,-0.02126892446153955,0.02695751556466408,-0.010859885956936377,0.032239136319441475,0.0247402143351029
QID12,0.01354274413906029,0.033630013869948905,0.023826877710629465,-0.08972424983102645,-0.06624146216461216,-0.032394403844987985,0.010260293697137796,-0.019332398590430427,-0.022142077628720787,-0.03735420574701914,-0.06657586361450338,0.07299817550809133,0.02402039379149726,0.00017044589722165632,0.08319000484638837,-0.029344592734070685,-0.07256474282723128,-0.13570908923724717,-0.0021246836585549394,-0.020126796557645182,0.10598984510947432,-0.03315779642019757,0.11567728599205462,-0.013163761642993852,0.12059255838056719,0.0842582100505412,0.03431494456722972,-0.04916151382055437,0.049138417802060366,0.00927980194593428
QID120,-0.035298747938897264,-0.03304983607476586,0.021926216427217593,0.07585775215709167,0.09996956843316457,-0.10594850046444138,-0.07875995251251111,0.00035656198147530904,-0.024833186258107542,0.0658859759950014,0.2293858608046112,0.143781898002889,0.07909480028058569,-0.002465527905646421,0.02804855864620746,0.042724329431064315,0.02182758426774662,0.0009965652727663993,0.011569154983290903,-0.05462052946651751,0.053412679354927016,0.015202744400799625,-0.002635298853314748,0.03475500385224678,0.035140312383850236,-0.036207878817769226,0.03729153274044979,-0.007381271359652265,0.05684426406756415,0.031548145698767086
QID121,-0.019344254597291635,-0.03727560376795064,0.003058106262652238,0.07793807634058725,0.10342935847083068,-0.09398529079664718,-0.09761121192915162,0.025558618008642883,0.00556798788718736,0.05737982653893402,0.20492960583071795,0.12428364117802147,0.037509049967194494,0.03247128476073877,0.03488353887544146,0.048833287182387206,0.04453129148581317,-0.0010463979065055348,0.01619632505615468,-0.08054309865645874,0.039043205588008424,-0.006654405364532726,0.004622985651493033,0.06410403616771407,-0.0037010419825690456,0.010805842824005076,-0.010041715536242377,0.017642512991285067,0.0702840961723221,0.08706509692565365
QID122,-0.016591594250044753,-0.04116713351211171,-0.002060981819510588,0.043776491349667324,0.11324017297497566,-0.10418757083693954,-0.09073054456615953,-0.002370315001457207,-0.01329203176452072,0.06338101502610077,0.17504943859663566,0.09215830713853558,0.06007506931218046,-0.017575552585456233,0.0003610403677300478,0.020997545239394635,0.04532139275887244,0.016570803533356382,0.05771106101176897,-0.041986215350799654,0.04169519743253844,0.01154188876255105,0.012926617408191426,0.009549960261322633,0.01094472805693545,0.041765317221050154,0.014734063498343886,-0.022935033383663424,0.028331003936129064,0.022795905528140925
QID125_r1,-0.024576287103642906,0.08979781030964289,0.008858364202799694,-0.012579012515164273,-0.020178627358334644,0.08890705893637707,-0.08695510677370097,0.03612263168907595,-0.010729138876031098,0.031246367310598405,-0.019701177994131725,0.08074941809902833,0.043340524089451604,0.018493317881995916,-0.08055067418048675,0.10698737656201962,0.009731524265213488,-0.04670655836389961,0.027664799905959353,-0.05086935626531544,-0.06134398778649462,0.00663909971376558,-0.02340421642345152,-0.09947153962358085,0.01788681946288393,0.01549284954853853,0.010385841909294896,0.04922397018676308,-0.007747399655031292,-0.04806382091048658
QID125_r10,-0.018845264380478323,0.09811957555461925,-0.002297807340996577,-0.02654760515847228,-0.06308859921076804,0.11438404397665497,-0.08723836720282607,0.05704073147645593,-0.027260297064608113,0.11581422821253931,0.04316794068396171,-0.029873391048032882,-0.05176580757111199,-0.07230771535450217,0.005550020448964271,-0.04382142922576701,0.04811431883378617,0.05676278684767648,-0.05448064763895424,0.05150327285934456,0.0074958678142047624,0.0437859717939762,-0.007508776708108785,0.046195909226801224,0.05950679896184786,-0.02072098743883844,0.008852719256795618,0.014313510455388973,-0.021121290116508144,-0.020101339933160465
