person_id,construct_id,mean_answer,std_answer,n_answers,percentile
00a1r,QID11,1.0,,1,0.08798283261802575
00a1r,QID117,3.0,,1,0.34120171673819744
00a1r,QID118,9.0,,1,0.5321888412017167
00a1r,QID119,7.0,,1,0.37339055793991416
00a1r,QID12,1.0,,1,0.27896995708154504
00a1r,QID120,4.0,,1,0.045064377682403435
00a1r,QID121,3.0,,1,0.04935622317596566
00a1r,QID122,2.0,,1,0.148068669527897
00a1r,QID125,1.0476190476190477,0.21821789023599236,21,0.23390557939914164
00a1r,QID13,3.0,,1,0.5686695278969958
00a1r,QID14,3.0,,1,0.2811158798283262
00a1r,QID148,1.0,,1,0.19098712446351931
00a1r,QID149,1.0,,1,0.2982832618025751
00a1r,QID15,1.0,,1,0.37124463519313305
00a1r,QID150,1.0,,1,0.3540772532188841
00a1r,QID151,2.0,,1,0.5772532188841202
00a1r,QID152,2.0,,1,0.6587982832618026
00a1r,QID16,1.0,,1,0.5021459227467812
00a1r,QID17,3.0,,1,0.5879828326180258
00a1r,QID18,9.0,,1,0.6115879828326181
00a1r,QID19,6.0,,1,0.7918454935622318
00a1r,QID20,3.0,,1,0.8390557939914163
00a1r,QID21,1.0,,1,0.09656652360515021
00a1r,QID217,1.0,,1,0.48068669527896996
00a1r,QID218,1.0,,1,0.4721030042918455
00a1r,QID219,1.0,,1,0.4721030042918455
00a1r,QID22,3.0,,1,0.47854077253218885
00a1r,QID220,1.0,,1,0.44420600858369097
00a1r,QID224,3.0,,1,0.2017167381974249
00a1r,QID225,1.0,,1,0.4613733905579399
00a1r,QID226,1.0,,1,0.45493562231759654
00a1r,QID227,1.0,,1,0.48283261802575106
00a1r,QID228,1.0,,1,0.47854077253218885
00a1r,QID229,1.0,,1,0.33905579399141633
00a1r,QID23,1.0,,1,0.12017167381974249
00a1r,QID230,1.0,,1,0.1351931330472103
00a1r,QID231,3.0,,1,0.10944206008583691
00a1r,QID232,2.7,1.1742858972247994,20,0.10300429184549356
00a1r,QID233,3.1875,1.1086778913041726,16,0.19098712446351931
00a1r,QID234,2.75,0.8660254037844386,12,0.6866952789699571
00a1r,QID235,3.5,0.5477225575051661,6,0.38626609442060084
00a1r,QID236,4.230769230769231,1.0127393670836666,13,0.5987124463519313
00a1r,QID237,2.4166666666666665,0.90033663737852,12,0.592274678111588
00a1r,QID238,3.6,0.7367883976130072,15,0.5
00a1r,QID239,3.1666666666666665,1.4719601443879746,6,0.575107296137339
00a1r,QID24,2.0,,1,0.45493562231759654
00a1r,QID25,3.3636363636363638,1.3483997249264843,44,0.5708154506437768
00a1r,QID26,2.7222222222222223,1.127493605332358,18,0.12875536480686695
00a1r,QID268,3.0,,1,0.7339055793991416
00a1r,QID269,3.0,,1,0.7188841201716738
00a1r,QID27,1.3076923076923077,0.4803844614152614,13,0.1072961373390558
00a1r,QID270,3.0,,1,0.7939914163090128
00a1r,QID271,1.0,,1,0.3605150214592275
00a1r,QID272,2.0,,1,0.7746781115879828
00a1r,QID273,1.0,,1,0.13733905579399142
00a1r,QID274,1.0,,1,0.3497854077253219
